Post.code;Totaal.2020;Koopwoning.2020;Huurwoning.2020;adressen/km2.2020
Code;x1;%;%;adressen/km2
7663;385;70;30;39
7664;620;80;20;33
7665;3575;80;20;232
7666;895;80;20;59
7667;1225;70;30;78
7668;155;70;30;24
7671;11260;60;40;669
7672;2560;80;20;800
7675;140;70;30;54
7676;4490;50;50;365
7678;4320;70;30;245
7679;1285;80;20;77
7681;8830;60;40;754
7683;5815;80;20;356
7685;1050;80;20;66
7686;585;90;10;159
7687;1215;80;20;177
7688;1450;80;20;73
7691;3440;80;20;240
7692;935;80;20;113
7693;1450;80;20;141
7694;1520;70;30;139
7695;1105;90;10;58
7696;295;80;20;48
7701;12095;70;30;819
7702;765;80;20;770
7705;350;90;10;38
7707;3830;80;20;213
7711;9215;70;30;462
7715;945;90;10;43
7721;7220;70;30;921
7722;7445;80;20;227
7731;12050;70;30;706
7732;570;80;20;426
7734;355;90;10;46
7735;355;90;10;68
7736;190;80;20;33
7737;490;80;20;74
7738;605;80;20;24
7739;425;80;20;34
7741;9125;50;50;878
7742;6445;70;30;875
7751;3875;80;20;311
7753;670;70;30;69
7754;370;90;10;34
7755;370;90;10;33
7756;250;100;-99997;59
7761;4380;70;30;409
7764;475;70;30;127
7765;1675;70;30;155
7766;1260;80;20;85
7771;4740;60;30;854
7772;11120;60;40;937
7773;3625;80;20;737
7775;2030;80;20;118
7776;3125;70;30;341
7777;955;90;10;76
7778;180;90;10;53
7779;120;80;20;12
7781;260;90;10;44
7782;1950;70;30;168
7783;3195;70;30;395
7784;555;90;10;36
7785;45;90;-99997;25
7786;195;80;20;63
7787;185;90;10;30
7788;145;80;10;16
7791;610;90;10;21
7792;110;80;20;19
7793;445;80;20;106
7794;290;80;20;34
7795;140;70;30;17
7796;570;80;20;72
7797;615;90;10;33
7798;365;80;20;105
7811;4365;40;60;1424
7812;9910;60;40;1231
7813;1055;90;10;329
7814;1670;90;10;249
7815;6025;40;60;1293
7821;20;-99997;-99997;613
7822;2895;60;40;1070
7823;8155;50;50;1488
7824;7670;50;50;1324
7825;405;80;20;263
7826;3055;80;20;365
7827;9315;70;20;813
7828;2035;90;10;347
7831;3385;70;30;182
7833;4785;70;30;618
7841;2180;70;30;297
7842;70;100;-99997;96
7843;840;90;10;112
7844;2155;60;40;642
7845;265;90;10;19
7846;580;100;0;49
7847;230;80;20;28
7848;2180;60;40;263
7849;385;90;10;67
7851;385;90;10;154
7852;190;90;10;24
7853;165;80;20;42
7854;1905;70;30;252
7855;385;90;10;59
7856;175;90;10;20
7858;125;80;20;23
7859;35;100;-99997;16
7861;1855;80;20;234
7863;610;80;20;84
7864;420;90;10;27
7871;735;80;20;102
7872;1225;80;20;125
7873;1920;70;30;240
7874;410;90;10;27
7875;1640;80;20;182
7876;3350;70;30;110
7877;105;90;-99997;53
7881;7735;70;30;368
7884;1740;70;30;161
7885;2075;80;20;183
7887;4765;70;30;356
7889;165;80;20;15
7891;11965;60;40;862
7892;115;80;20;454
7894;2990;70;30;312
7895;805;80;20;52
7901;3185;40;60;1793
7902;4505;50;50;1949
7903;395;70;30;470
7904;5070;50;50;1034
7905;4395;60;40;1420
7906;6235;50;50;2062
7907;2005;50;50;1820
7908;11510;80;20;1124
7909;2750;50;50;1130
7910;120;90;10;15
7911;295;80;10;66
7912;670;80;20;72
7913;5180;70;30;385
7914;1920;80;20;360
7915;65;80;-99997;62
7916;2430;70;30;212
7917;1345;80;20;78
7918;1380;80;20;127
7921;6855;70;30;535
7924;1035;80;20;45
7925;575;90;10;19
7926;945;90;10;78
7927;725;90;10;84
7928;10;-99997;-99997;8
7929;40;100;-99997;19
7931;720;90;10;62
7932;370;70;30;49
7933;1630;70;30;126
7934;575;90;10;49
7935;70;80;20;94
7936;795;80;20;62
7937;65;90;-99997;15
7938;935;80;20;114
7941;6145;50;50;2008
7942;5355;40;60;1276
7943;7970;70;30;930
7944;10310;60;40;1298
7946;1720;70;30;100
7948;3815;80;20;308
7949;125;90;10;36
7951;10680;80;20;482
7954;4090;80;20;165
7955;1335;80;20;152
7957;2995;70;30;375
7958;2465;80;20;122
7961;3965;80;20;249
7963;3670;70;30;293
7964;345;70;30;39
7965;120;80;20;33
7966;75;50;50;38
7971;3645;70;30;393
