postal_code,month_year,value_EV,value_CP,monthly_price,value_cars
5813,2020-05-01,34,2,1.4820967741935485,1359
5813,2020-10-01,45,2,1.5578709677419356,1359
5813,2020-11-01,46,2,1.5245666666666666,1359
5813,2020-12-01,51,3,1.5534193548387096,1359
5814,2020-10-01,1,0,1.5578709677419356,326
5814,2020-11-01,1,0,1.5245666666666666,326
5814,2020-12-01,1,1,1.5534193548387096,326
5814,2020-04-01,1,0,1.4683,326
5814,2020-01-01,1,0,1.6971290322580646,326
5814,2020-02-01,1,0,1.664,326
5814,2020-03-01,1,0,1.566516129032258,326
5814,2020-08-01,1,0,1.564258064516129,326
5814,2020-05-01,1,0,1.4820967741935485,326
5814,2020-06-01,1,0,1.5385666666666666,326
5814,2020-07-01,1,0,1.560741935483871,326
5814,2020-09-01,1,0,1.5640666666666667,326
5815,2020-02-01,5,0,1.664,634
5815,2020-03-01,5,0,1.566516129032258,634
5815,2020-04-01,5,0,1.4683,634
5815,2020-01-01,6,0,1.6971290322580646,634
5815,2020-08-01,9,0,1.564258064516129,634
5815,2020-05-01,5,0,1.4820967741935485,634
5815,2020-06-01,5,0,1.5385666666666666,634
5815,2020-07-01,7,0,1.560741935483871,634
5815,2020-12-01,9,1,1.5534193548387096,634
5815,2020-09-01,9,0,1.5640666666666667,634
5815,2020-10-01,9,0,1.5578709677419356,634
5815,2020-11-01,9,0,1.5245666666666666,634
5816,2020-05-01,2,0,1.4820967741935485,133
5816,2020-08-01,2,0,1.564258064516129,133
5816,2020-09-01,3,0,1.5640666666666667,133
5816,2020-06-01,2,0,1.5385666666666666,133
5816,2020-07-01,2,0,1.560741935483871,133
5816,2020-01-01,1,0,1.6971290322580646,133
5816,2020-02-01,1,0,1.664,133
5816,2020-03-01,1,0,1.566516129032258,133
5816,2020-04-01,2,0,1.4683,133
5816,2020-10-01,3,0,1.5578709677419356,133
5816,2020-11-01,3,0,1.5245666666666666,133
5816,2020-12-01,4,1,1.5534193548387096,133
5817,2020-11-01,3,0,1.5245666666666666,130
5817,2020-12-01,3,1,1.5534193548387096,130
5817,2020-03-01,3,0,1.566516129032258,130
5817,2020-10-01,3,0,1.5578709677419356,130
5817,2020-01-01,3,0,1.6971290322580646,130
5817,2020-02-01,3,0,1.664,130
5817,2020-07-01,3,0,1.560741935483871,130
5817,2020-04-01,3,0,1.4683,130
5817,2020-05-01,3,0,1.4820967741935485,130
5817,2020-06-01,3,0,1.5385666666666666,130
5817,2020-08-01,3,0,1.564258064516129,130
5817,2020-09-01,3,0,1.5640666666666667,130
5851,2020-01-01,14,4,1.6971290322580646,1288
5851,2020-02-01,15,5,1.664,1288
5851,2020-03-01,16,4,1.566516129032258,1288
5851,2020-04-01,14,5,1.4683,1288
5851,2020-05-01,14,5,1.4820967741935485,1288
5851,2020-06-01,14,4,1.5385666666666666,1288
5851,2020-07-01,15,5,1.560741935483871,1288
5851,2020-08-01,17,5,1.564258064516129,1288
5851,2020-09-01,18,5,1.5640666666666667,1288
5851,2020-10-01,19,5,1.5578709677419356,1288
5851,2020-11-01,19,5,1.5245666666666666,1288
