"Gemeenten";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Januari 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Februari 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Maart 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|April 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Mei 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juni 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juli 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Augustus 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|September 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Oktober 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|November 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|December 2020"
"Vlieland";0;0;0;0;0;0;0;0;0;0;0;0
"Vlissingen";0;0;0;0;0;0;0;0;0;0;0;0
"Voerendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Voorschoten";2;2;2;2;2;2;2;2;2;2;2;2
"Voorst";0;0;0;0;0;0;0;0;0;0;0;0
"Vught";0;0;0;0;0;0;0;0;0;0;0;0
"Waadhoeke";0;0;0;0;0;0;0;0;0;0;0;0
"Waalre";2;2;2;2;2;2;0;0;0;0;0;0
"Waalwijk";0;0;0;0;0;0;0;0;0;0;4;4
"Waddinxveen";0;0;0;0;0;0;0;0;0;0;0;0
"Wageningen";2;2;2;2;2;2;2;2;2;2;2;2
"Wassenaar";0;0;0;0;0;0;0;0;0;0;0;0
"Waterland";0;0;0;0;0;0;0;0;0;0;0;0
"Weert";0;0;0;0;0;0;0;0;0;0;0;0
"Weesp";1;1;1;1;1;1;0;0;0;0;0;0
"West Betuwe";0;0;0;0;0;0;0;0;0;0;0;0
"West Maas en Waal";0;0;0;0;0;0;0;0;0;0;0;0
"Westerkwartier";0;0;0;0;0;0;0;0;2;2;6;6
"Westerveld";0;0;0;0;0;0;0;0;0;0;0;0
"Westervoort";0;0;0;0;0;0;0;0;0;0;0;0
"Westerwolde";0;0;0;0;0;0;0;0;0;0;0;0
"Westland";0;0;0;0;0;0;0;0;0;0;0;0
"Weststellingwerf";1;1;1;1;1;1;0;0;0;0;0;0
"Westvoorne";0;0;0;0;0;0;0;0;0;0;0;0
"Wierden";0;0;0;0;0;0;0;0;0;0;0;0
"Wijchen";0;0;0;0;0;0;0;0;0;0;0;0
"Wijdemeren";0;0;0;0;0;0;0;0;0;0;0;0
"Wijk bij Duurstede";0;0;0;0;0;0;0;0;0;0;0;0
"Winterswijk";0;0;0;0;0;0;0;0;0;0;0;0
"Woensdrecht";0;0;0;0;0;0;0;0;0;0;0;0
"Woerden";0;0;0;0;0;0;0;0;0;0;0;3
"Wormerland";0;0;0;0;0;0;0;0;0;0;0;0
"Woudenberg";0;0;0;0;0;0;0;0;0;0;0;0
"Zaanstad";1;1;1;1;1;1;0;0;0;0;0;3
"Zaltbommel";0;0;0;0;0;0;0;0;0;0;0;2
"Zandvoort";0;0;0;0;0;0;0;0;0;0;0;0
"Zeewolde";1;1;1;1;1;1;0;0;0;0;0;0
"Zeist";0;0;0;0;0;0;0;0;0;0;0;0
"Zevenaar";0;0;0;0;0;0;0;0;0;0;0;0
"Zoetermeer";0;0;0;0;0;0;0;0;0;0;0;0
"Zoeterwoude";0;0;0;0;0;0;0;0;0;0;0;0
"Zuidplas";3;3;3;3;3;3;3;3;3;3;3;3
"Zundert";0;0;0;0;0;0;0;0;0;0;0;0
"Zutphen";4;4;4;4;4;4;4;4;2;2;0;0
"Zwartewaterland";0;0;0;0;0;0;0;0;0;0;0;0
"Zwijndrecht";1;1;1;1;1;1;1;1;1;1;1;1
"Zwolle";3;3;3;3;2;2;9;9;9;10;10;13
"Gemeente onbekend";"";"";"";"";"";"";"";"";"";"";"";""
