Post.code;Totaal.2021;Koopwoning.2021;Huurwoning.2021;adressen/km2.2021
Code;x1;%;%;adressen/km2
4714;5215;70;30;628
4715;4725;70;30;431
4721;1325;80;20;118
4722;220;90;10;77
4724;4795;80;20;619
4725;1200;80;20;67
4726;1830;90;10;187
4727;595;90;10;52
4731;12755;50;50;1069
4735;2040;70;30;269
4741;6725;70;30;585
4744;2500;70;30;305
4751;7240;80;20;582
4754;1205;70;30;156
4756;2315;80;20;206
4758;2250;70;30;265
4759;1075;80;20;135
4761;13160;60;40;1352
4762;1365;80;20;665
4765;1615;70;30;184
4766;20;-99997;-99997;47
4771;610;80;20;73
4772;255;80;20;74
4781;590;60;40;174
4782;530;70;30;104
4791;5880;60;40;620
4793;5495;60;40;610
4794;965;80;20;61
4796;275;90;10;57
4797;3135;60;40;279
4811;17100;30;70;3893
4812;10135;40;60;2775
4813;8470;60;40;1885
4814;11425;40;60;2831
4815;4285;60;40;1983
4816;4510;40;60;2884
4817;15430;40;60;2085
4818;9005;70;30;3071
4819;3625;70;30;2918
4822;7960;60;40;1374
4823;8805;70;30;1225
4824;8905;70;30;1266
4825;105;80;20;807
4826;9220;40;60;2246
4827;7755;30;70;2369
4834;11975;60;40;2237
4835;6815;80;20;2543
4836;840;80;20;76
4837;2260;60;40;1781
4838;1210;80;20;108
4839;395;100;0;267
4841;12140;80;20;1133
4844;6225;70;30;788
4845;2180;80;20;268
4847;8385;80;20;896
4849;3055;90;10;306
4851;4995;70;30;560
4854;8335;80;20;885
4855;1065;80;20;112
4856;345;80;20;30
4858;325;80;20;84
4859;50;80;-99997;15
4861;4290;70;30;339
4871;16960;70;30;1658
4872;8785;60;40;2088
4873;6060;70;30;1575
4874;2955;70;30;1237
4875;1820;70;30;1901
4876;7070;60;40;1569
4877;25;-99997;-99997;413
4878;5;-99997;-99997;286
4879;185;90;10;622
4881;8210;70;30;893
4882;2415;90;10;290
4884;3010;80;20;191
4885;1685;80;20;90
4891;6655;80;20;476
4901;10615;50;40;2357
4902;8785;60;40;1777
4903;405;80;20;381
4904;11945;50;50;1298
4905;910;80;20;1614
4906;4645;70;30;825
4907;10260;60;40;1633
4908;3110;60;40;1191
4909;1215;90;10;116
4911;1265;90;10;167
4921;12470;70;30;1129
4924;575;80;20;66
4926;4105;70;30;371
4927;1745;80;20;178
4931;7040;60;40;1075
4941;8830;60;40;1216
4942;3685;70;30;1286
4944;2215;70;30;238
5011;11990;30;70;2652
5012;4665;60;40;1748
5013;740;60;40;2545
5014;11870;50;50;3658
5015;705;90;10;923
5017;5780;60;40;3838
5018;3820;70;30;1783
5021;12275;40;60;4059
5022;8450;40;60;2000
5025;12625;40;60;3890
5026;1100;80;20;1326
5032;6145;90;10;1011
5035;7705;70;30;1479
5036;8915;70;30;1014
5037;10130;40;60;2837
5038;15100;30;70;5101
5041;9390;40;60;4803
5042;12390;40;60;3120
5043;9195;60;40;1626
5044;8115;30;70;2031
5045;18455;80;20;1596
5046;12270;40;60;3832
5047;150;80;20;671
5048;50;40;60;752
5049;7275;30;70;2001
5051;14430;70;30;1394
5052;4585;80;20;1055
5053;2015;80;20;925
5056;11570;80;20;949
5057;1490;40;60;1137
5059;320;90;10;438
5061;12625;60;40;1339
5062;6035;90;10;783
5063;1540;60;40;1022
5066;6030;80;20;587
5071;8135;70;30;723
5074;1440;70;30;101
5076;5825;70;30;462
5081;8760;70;30;850
5084;1015;80;20;101
5085;1230;80;20;121
5087;3795;80;20;331
5089;890;90;10;82
5091;6010;80;20;263
5094;1795;70;30;172
5095;1810;80;20;160
5096;810;90;10;92
5101;3730;60;40;1429
5102;6445;70;30;1314
5103;6460;80;20;1259
5104;5970;60;40;1529
5105;395;90;10;161
5106;1070;80;20;131
5107;45;70;30;408
5109;2260;70;30;268
5111;5685;70;30;392
5113;1090;80;20;71
5114;125;90;10;22
5121;12360;60;40;1379
5122;4440;70;30;1270
5124;1210;90;10;108
5125;435;90;10;196
5126;8275;60;40;722
5131;4300;80;20;388
5133;2925;90;10;300
5141;6280;60;40;1640
5142;9770;50;50;1798
5143;4440;70;30;1497
5144;9310;60;40;1699
5145;95;60;40;365
5146;4045;70;30;1044
5151;12765;70;30;1481
5152;5500;70;30;1567
5154;1840;80;20;391
5156;2735;60;40;481
5157;75;90;-99997;14
5158;180;90;10;178
5161;9715;60;40;719
5165;5155;70;30;424
5171;13900;60;40;1272
5172;2700;70;30;1151
5175;6290;70;30;674
5176;600;90;10;48
5211;13140;30;70;3936
5212;7015;40;60;3439
5213;8075;30;70;3069
5215;5195;40;60;2792
5216;7090;50;50;2086
5221;5605;90;10;383
5222;125;20;80;1018
5223;13355;30;70;2399
5224;8830;40;60;1657
5231;10360;40;60;1860
5232;1190;90;10;1274
5233;8155;40;60;1739
5234;85;60;40;1054
5235;6945;50;50;1792
5236;6520;80;20;876
5237;9365;80;20;1223
5241;6400;70;30;1551
5242;4885;80;20;1159
5243;2625;70;30;1545
5244;3065;60;40;802
5245;4475;60;40;875
5246;5965;70;30;1371
5247;8045;70;30;1073
5248;1465;80;20;484
5249;330;80;20;151
5251;13050;60;40;1118
5252;2095;70;30;1286
5253;2100;80;20;498
5254;2300;80;20;262
5255;765;90;10;152
5256;1325;50;50;443
5257;280;90;10;34
5258;10250;80;20;631
5261;6955;60;40;1271
5262;13245;60;40;1513
5263;5700;80;20;855
5264;45;-99997;-99997;563
5266;815;80;20;107
5268;4880;70;30;423
5271;10775;70;30;723
5272;1620;60;40;785
5275;4610;80;20;581
5281;7060;50;50;1450
5282;6755;50;50;1209
5283;12225;70;30;1375
5291;1270;80;20;184
5292;255;90;10;68
5293;535;80;20;200
5294;180;90;10;156
5296;2175;80;20;249
5298;4785;80;20;401
5301;10560;60;40;1165
5302;2510;60;40;1077
5305;1820;80;20;166
