"Postcodes (PC4)";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Januari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Februari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Maart 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|April 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Mei 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juni 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juli 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Augustus 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|September 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Oktober 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|November 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|December 2020"
"6027 Soerendonk";17;17;18;19;19;19;20;23;23;23;23;23
"6028 Gastel";3;3;3;3;5;5;5;5;5;6;7;7
"6029 Sterksel";24;24;24;25;26;29;29;31;31;32;32;36
"6031 Nederweert";58;59;61;64;66;66;71;74;79;81;83;95
"6034 Nederweert-Eind";13;13;14;14;13;19;20;19;19;20;21;21
"6035 Ospel";22;24;25;26;29;28;32;31;31;35;35;35
"6037 Kelpen-Oler";5;5;6;6;6;6;6;6;7;7;7;7
"6039 Stramproy";29;29;29;31;31;32;31;33;33;35;37;41
"6041 Centrum";75;76;77;78;82;84;87;88;92;98;106;112
"6042 Maasniel/Assenray";52;54;55;55;60;63;66;70;72;73;78;91
"6043 Donderberg/Hoogvonderen";26;26;27;27;28;30;36;38;42;42;44;47
"6044 Componisten-/Vliegeniersbrt";4;4;4;4;4;4;5;5;6;6;6;6
"6045 Zuid";26;28;28;29;28;29;29;30;34;35;36;36
"6049 Herten";53;54;55;57;57;57;61;67;67;69;73;78
"6051 Maasbracht";32;33;33;33;34;34;36;36;38;41;41;44
"6061 Posterholt";21;21;21;18;18;21;24;24;24;25;26;27
"6063 Vlodrop";12;12;14;14;14;14;14;14;14;14;14;16
"6065 Montfort";17;17;17;17;17;17;19;20;20;18;19;21
"6067 Linne";29;30;30;32;31;31;32;32;32;36;38;37
"6071 Swalmen";23;23;43;43;43;46;51;52;53;47;51;54
"6074 Melick";8;8;8;8;8;10;13;12;13;14;14;16
"6075 Herkenbosch";19;18;18;19;20;21;22;22;21;21;24;25
"6077 St Odilienberg";15;15;15;15;16;16;17;16;18;18;21;21
"6081 Haelen";32;33;34;34;35;36;38;38;38;39;39;39
"6082 Buggenum";8;8;8;8;9;9;10;12;12;13;13;13
"6083 Nunhem";1;1;1;1;1;1;1;1;1;1;1;1
"6085 Horn";13;14;15;15;15;15;15;16;17;17;18;20
"6086 Neer";14;14;16;19;20;20;21;21;23;23;23;24
"6088 Roggel";15;17;18;19;22;23;22;25;25;28;29;28
"6089 Heibloem";6;6;8;8;8;8;8;8;8;8;8;8
"6091 Leveroy";6;6;6;6;6;7;8;8;8;8;8;8
"6092 Maxet-aan het Klooster";4;4;4;4;4;4;4;4;4;4;4;4
"6093 Heythuysen";35;36;37;38;40;43;43;44;44;44;46;47
"6095 Baexem";9;9;10;11;11;13;14;17;18;19;19;19
"6096 Grathem";12;12;13;13;14;14;13;14;15;15;15;16
"6097 Heel";22;23;23;22;22;24;27;30;32;33;32;33
"6099 Beegden";9;9;9;10;11;13;15;16;19;19;19;20
"6101 Echt";39;39;41;43;44;45;49;50;54;56;61;67
"6102 Peij";14;15;16;16;17;18;20;21;23;23;23;25
"6104 Koningsbosch";10;10;10;10;10;9;9;9;9;9;9;9
"6105 Maria Hoop";11;11;13;12;12;13;14;13;13;13;13;13
"6107 Stevensweert";9;9;10;9;9;9;9;10;11;12;12;14
"6109 Ohe en Laak";6;6;6;6;6;6;6;6;6;6;6;6
"6111 Sint Joost";5;5;5;5;5;5;5;5;5;5;5;5
"6112 Peij";5;5;5;5;5;5;5;5;5;5;6;6
"6114 Susteren";37;38;41;42;44;48;48;50;51;54;56;56
"6116 Roosteren";4;4;4;4;5;5;5;5;6;6;6;6
"6118 Nieuwstadt";15;15;16;16;16;18;18;19;20;21;21;22
"6121 Born";27;27;28;28;29;29;27;32;32;35;35;37
"6122 Buchten";10;10;10;10;10;10;11;11;12;12;13;13
"6123 Holtum";4;4;4;3;1;1;2;3;4;3;4;5
"6124 Papenhoven";1;1;1;1;1;3;3;3;3;3;3;4
"6125 Obbicht";8;8;8;9;8;8;8;8;9;9;9;9
"6127 Grevenbicht";15;16;17;17;17;17;19;19;19;18;18;18
"6129 Urmond";16;18;22;21;22;22;23;24;24;24;24;24
"6131 Sittard-C";16;18;17;17;19;18;19;24;25;25;28;29
"6132 Kollenberg/Kemperkoul";29;30;31;31;33;35;36;35;38;40;44;49
"6133 Ophoven";10;11;11;13;14;15;18;21;24;27;28;27
"6134 Sanderbout";3;3;3;3;3;3;3;3;4;4;4;5
"6135 West";402;407;413;413;410;425;426;431;451;462;488;537
"6136 Noord";36;36;37;37;37;36;39;37;37;39;39;43
"6137 Stadbroek/Vrangendael/Broeksittard";18;18;18;19;21;20;23;25;26;28;30;35
"6141 Limbricht";7;7;8;10;10;10;10;10;10;13;13;13
"6142 Einighausen";5;5;5;6;6;6;6;7;8;8;9;9
"6143 Guttecoven";2;2;2;2;2;3;3;4;5;5;5;5
"6151 Munstergeleen";13;13;13;14;14;15;16;17;20;21;21;21
"6153 Windraak";0;0;0;0;0;0;0;0;0;1;1;1
"6155 Puth";4;4;4;4;4;4;6;6;7;7;8;9
"6161 Centrum";31;30;32;31;32;34;36;35;39;41;44;45
"6162 Noord";13;14;14;15;17;19;19;22;22;23;24;24
"6163 Lindenheuvel";17;19;19;19;20;20;20;21;21;21;23;24
"6164 Zuid";10;11;11;10;10;11;11;12;12;13;15;16
"6165 Kluis";16;17;17;18;19;19;19;23;23;25;26;27
"6166 Oud-Geleen";15;15;16;16;17;17;17;17;18;17;18;17
"6167 Ind geb DSM/Graetheide";0;0;0;0;0;0;"";"";"";"";2;2
"6171 Stein";35;34;35;36;36;37;39;40;40;40;40;41
"6174 Sweikhuizen";7;7;8;8;8;8;8;8;9;9;9;10
"6176 Spaubeek";11;11;11;12;12;12;12;12;12;12;13;13
"6181 Elsloo";16;17;18;18;19;21;26;29;30;33;34;38
"6191 Beek";50;50;51;50;52;50;53;57;57;60;59;61
"6199 Maastricht-Airport";34;33;33;29;29;26;29;29;26;26;25;31
"6211 Binnenstad";70;70;70;69;68;71;71;73;76;77;79;85
"6212 Villapark/Jekerdal/St Pieter";35;35;37;37;36;37;39;39;39;37;38;39
"6213 Biesland/Campagne/Wolder";27;28;28;30;31;32;32;32;32;33;33;34
"6214 Mariaberg";15;15;14;15;15;15;15;15;16;16;17;17
"6215 Daalhof";23;24;24;23;24;26;28;28;29;29;29;30
"6216 Belfort/Pottenberg/Dousberg";13;13;13;12;12;12;12;13;14;14;14;16
"6217 Brusselseprt/Malpertuis/Caberg";16;17;16;16;16;18;17;17;19;21;22;22
"6218 Oud-Caberg/Malberg";17;19;18;18;19;18;18;19;20;20;20;21
"6219 Boschpoort/Bosscherveld";19;19;20;21;22;22;22;22;23;23;24;24
"6221 Akerpoort/St Maartenspoort/Wyck";40;40;43;42;43;43;44;42;45;48;49;52
"6222 Beatrixhaven/Nazareth/Meerssenhoven";16;17;20;20;20;21;23;22;24;26;26;28
"6223 Borgharen/Itteren";13;13;13;13;13;13;13;14;14;14;14;14
"6224 Wyckerpoort/Oostermaas";18;18;22;21;23;24;24;27;32;29;30;29
"6225 Amby";22;22;23;23;24;25;27;28;30;31;31;34
"6226 Scharn";30;31;33;34;34;38;39;40;41;41;41;52
"6227 Heer";20;20;21;22;22;24;27;26;28;30;31;32
"6228 De Heeg/Vroendaal";35;37;37;38;37;37;37;41;42;43;45;48
"6229 Randwyck/Heugem";37;37;35;37;39;38;38;40;39;40;41;39
"6231 Meerssen";35;36;36;37;37;39;44;47;49;51;52;60
"6235 Ulestraten";12;13;14;15;16;15;16;18;18;18;18;18
"6237 Moorveld";1;1;1;1;2;2;2;2;2;2;2;2
"6241 Bunde";21;21;23;23;23;25;25;28;28;28;30;33
"6243 Geulle";18;19;20;20;20;21;23;23;24;24;24;25
"6245 Eijsden";38;37;37;38;41;42;42;47;48;53;56;58
"6247 Gronsveld";14;14;16;19;17;17;17;17;17;18;20;21
"6251 Eckelrade";1;1;1;1;1;1;1;1;1;1;1;1
"6252 Eckelrade";"";"";"";"";"";"";"";"";"";"";0;0
"6255 Mheer/Noorbeek";7;7;7;7;8;8;8;9;9;11;12;14
"6261 Mheer";1;1;1;1;1;1;1;2;2;3;3;3
"6262 Banholt";2;2;2;3;3;3;3;3;5;5;5;5
"6265 St Geertruid";6;6;6;6;6;6;6;6;6;6;6;6
"6267 Cadier en Keer";18;20;21;21;21;21;26;27;29;31;31;32
"6268 Bemelen";0;1;1;1;1;1;1;1;1;1;2;2
"6269 Margraten";17;17;19;19;19;24;24;24;22;23;25;25
"6271 Gulpen";12;13;13;14;14;14;14;17;20;20;20;21
"6273 Ingber/De Hut";3;3;3;3;3;3;2;2;2;2;2;2
"6274 Reijmerstok";2;2;3;3;5;5;5;5;5;5;5;5
"6276 Heijenrade";0;0;0;0;0;0;0;0;0;0;0;0
"6277 Slenaken";6;6;6;6;6;6;6;6;6;6;6;6
"6278 Beutenaken";0;0;0;0;0;0;0;0;0;0;0;0
"6281 Mechelen";16;17;17;17;17;17;18;20;20;18;18;18
"6285 Epen";0;0;1;1;1;1;1;2;2;3;3;3
"6286 Wittem";7;7;7;8;8;8;8;10;11;11;11;11
"6287 Eys";6;6;7;7;7;7;7;8;8;8;8;8
"6289 Elkenrade";"";"";"";"";1;1;1;1;1;1;1;1
"6291 Vaals";31;31;32;31;31;32;34;36;37;38;41;44
"6294 Vijlen";11;11;11;11;11;11;11;11;12;13;13;14
"6295 Lemiers";3;3;3;3;3;3;4;4;4;4;4;4
"6301 Valkenburg ad Geul";119;119;120;123;127;136;157;160;160;170;184;189
"6305 Schin op Geul";8;9;10;10;10;10;10;10;10;10;10;10
"6307 Scheulder";0;0;0;0;0;0;0;0;0;1;1;1
"6311 Ransdaal";1;1;1;1;1;1;1;1;2;2;2;4
"6312 Ransdaal";0;0;0;0;0;0;0;0;0;0;0;0
"6321 Wijlre";22;21;21;21;21;21;25;27;27;27;30;31
"6325 Berg en Terblijt";23;24;25;27;29;29;29;30;30;32;35;35
"6333 Schimmert";15;15;17;18;18;18;20;20;21;20;22;23
"6336 Hulsberg";9;9;9;10;10;10;10;11;14;15;15;16
"6341 Walem";"";"";"";"";"";"";"";"";"";"";"";""
"6342 Walem";0;0;0;0;0;0;0;0;0;0;0;0
"6343 Klimmen";28;28;28;28;28;30;33;33;35;36;38;41
"6351 Bocholtz";11;12;13;13;13;15;18;18;19;18;18;19
"6353 Baneheide";1;1;1;1;1;1;1;1;1;1;1;1
"6361 Nuth";32;35;36;36;37;36;37;38;41;40;41;46
"6363 Wijnandsrade";8;8;8;8;7;8;8;7;9;9;9;10
"6365 Schinnen";18;19;19;19;18;18;22;22;23;23;24;24
"6367 Voerendaal";37;37;37;37;38;38;38;38;39;40;43;46
"6369 Simpelveld";12;13;13;15;15;16;17;18;20;20;20;26
"6371 Schaesberg-N/Kakert";17;17;17;18;17;17;17;17;17;18;22;25
"6372 Schaesberg-Z/Eikske";47;47;50;50;48;50;52;54;56;56;56;58
"6373 Nieuwenhagen";23;24;23;23;26;27;28;28;27;27;27;28
"6374 Ubach over Worms";29;30;31;31;31;31;35;37;39;40;43;45
"6411 Stad-Z/Welten";66;67;70;71;75;74;74;80;85;85;88;103
"6412 Stad-N";54;57;58;56;54;53;59;65;63;68;73;105
"6413 Beersdal";20;21;22;22;23;25;31;33;35;36;36;34
"6414 Heerlerheide";20;21;21;20;20;24;24;25;27;28;28;29
"6415 Meezenbroek";6;8;8;8;8;10;11;11;12;12;11;12
"6416 Molenberg";26;27;29;30;30;30;34;35;35;35;39;39
"6417 De Hees";19;19;20;20;20;20;22;24;26;28;31;33
"6418 Heerlerbaan";23;24;24;25;25;27;28;29;31;32;32;35
"6419 Welten";54;54;54;54;55;56;59;59;60;60;61;66
"6421 Treebeek-zuid";"";"";"";"";"";"";"";"";"";"";"";""
"6422 Beitel";7;7;7;7;7;7;7;7;7;6;6;8
"6431 Hoensbroek";27;30;30;27;29;32;33;34;37;42;42;42
"6432 Maria Gewanden/Terschuren";17;16;16;16;17;18;17;18;19;18;19;20
"6433 Nieuw Lotbroek";21;21;21;21;21;23;29;31;33;32;34;35
"6436 Amstenrade/Hommerft";3;5;6;6;6;6;7;9;10;10;10;11
"6438 Oirsbeek";8;9;10;10;11;10;10;10;12;13;16;17
"6439 Doenrade";1;2;1;2;2;2;3;3;3;3;3;3
"6441 NW I/IV";17;19;19;19;19;19;19;19;21;24;24;24
"6442 NO/Bouwber";6;6;7;7;7;8;8;8;9;9;9;9
"6443 ZO/NW III/ZW II/Haansberg-O";8;8;8;8;9;9;10;11;13;14;15;17
"6444 NW II/ZW I/Haansberg-W";9;14;14;14;15;15;18;20;22;24;26;28
"6445 ZO/NW III/ZW II/Haansberg-O";5;4;4;4;4;5;4;6;7;9;9;9
"6446 Treebeek";5;5;6;6;7;7;7;6;8;10;11;11
"6447 Merkelbeek";7;8;8;8;8;10;10;11;11;11;11;11
"6451 Schinveld";19;19;20;20;23;23;22;22;24;23;23;25
"6454 Jabeek";2;2;4;4;4;4;4;4;5;5;5;6
"6456 Bingelrade";1;1;2;2;2;4;4;4;4;4;4;4
"6461 Centrum/Holz";30;30;31;32;32;31;37;37;36;37;39;40
"6462 Nulland/Bleijerheide";18;18;18;19;19;19;20;20;19;19;21;21
"6463 Erenstein/Rolduckerveld/Vink/Chevremont";8;8;8;9;8;9;15;15;17;17;17;16
"6464 Haanrade";11;11;12;11;11;12;14;16;17;17;17;17
"6465 Gracht";4;4;4;4;4;4;4;4;5;5;5;5
"6466 West";18;18;19;19;20;21;23;24;26;26;28;28
"6467 Terwinselen";18;18;18;18;18;18;19;21;21;21;21;21
"6468 Dentgenbach";12;13;13;13;14;13;13;13;13;13;13;15
"6469 Hopel";"";"";"";"";"";1;1;1;1;1;1;1
"6471 Eijgelshoven";9;10;11;12;12;12;13;13;13;14;16;16
"6511 Centrum/Benedenstad";70;71;71;71;75;77;78;79;81;84;85;87
"6512 Bottendaal";18;18;22;22;22;22;24;24;24;28;29;33
"6515 Waalsprong";71;75;76;78;78;78;83;85;86;88;90;92
"6521 Altrade";28;28;26;27;27;27;26;26;27;27;28;29
"6522 Hunnerberg/Ooijse Schependom";42;42;43;43;44;44;44;45;47;50;52;55
"6523 Hengstdal/Kwakkenberg";55;55;54;55;58;57;58;59;58;63;65;71
"6524 Galgenveld";53;53;53;53;52;55;56;59;59;62;61;67
"6525 St Anna/Heyendaal/Groenewoud/Brakkenstein";44;44;41;40;40;41;42;43;45;46;47;48
"6531 Nije Veld/Hazenkamp";32;33;33;35;36;35;40;43;45;46;51;55
"6532 Goffert";30;30;31;32;32;32;32;33;34;36;38;40
"6533 Hatertse Hei/Grootstal";37;37;38;40;42;42;44;47;48;50;53;55
"6534 Goffert";38;36;36;38;38;36;37;41;40;50;54;80
"6535 Hatert";9;9;9;9;9;11;14;14;14;14;14;16
"6536 Weezenhof";21;21;23;24;24;24;25;25;26;26;27;29
"6537 Tolhuis/Meijhorst/Aldenhof/Staddijk";19;20;21;21;23;24;27;30;33;33;35;40
"6538 Zwanenveld/Lankforst/Malvert";37;38;40;42;44;47;48;49;51;51;52;56
"6541 Biezen/Haven";80;90;83;84;85;85;86;87;90;91;89;89
"6542 Wolfskuil/Hees";17;17;18;18;19;21;21;21;21;21;21;22
"6543 Heseveld";38;38;37;37;36;35;36;38;40;41;41;42
"6544 Neerbosch";13;12;12;12;13;13;14;14;13;13;14;14
"6545 Lindenholt/Kamp/Neerbosch";30;32;32;32;32;32;33;35;43;47;47;57
"6546 Lindenholt/Bijsterhuizen";44;45;43;46;43;41;41;44;47;47;47;48
"6551 Beuningen";20;19;20;21;23;26;26;27;26;26;26;27
"6561 Noord";40;42;42;44;45;45;47;47;51;51;51;51
"6562 Broesbeek/Breedeweg/Horst";98;100;104;104;105;104;93;94;92;89;93;113
"6564 Heilig Landstichting";13;15;15;15;14;15;15;15;15;16;18;18
"6566 Millingen aan de Rijn";23;23;26;26;26;26;29;30;30;30;30;33
"6571 Nijerf/Berg en Dal";22;23;24;25;24;23;24;24;24;26;27;29
"6572 Berg en Dal (ged)";5;5;6;6;7;7;8;8;10;10;10;10
"6573 Beek";32;31;31;32;32;33;34;35;36;38;39;42
"6574 Ubbergen";9;9;9;9;9;9;9;8;8;9;8;8
"6575 Persingen";2;2;2;2;2;2;2;2;2;2;3;3
"6576 Ooij";16;17;18;19;19;19;20;21;20;20;21;21
"6577 Erlecom";3;3;3;3;3;4;4;4;4;4;4;5
"6578 Leuth";8;8;8;8;7;7;8;8;6;7;7;8
"6579 Kekerdom";6;6;6;6;6;6;7;8;7;7;7;7
"6581 Malden";80;81;80;81;80;80;87;88;92;95;95;100
"6582 Heumen";12;13;13;13;13;13;14;14;13;14;14;15
"6584 Molenhoek";22;23;22;23;22;23;23;24;25;25;28;28
"6585 Mook";32;32;33;34;33;33;34;34;34;36;37;38
"6586 Plasmolen";8;8;9;10;10;11;11;11;11;13;13;14
"6587 Middelaar";5;5;5;3;3;3;3;3;3;3;4;7
"6591 Gennep";42;44;48;48;48;50;54;52;53;52;56;57
"6595 Ottersum";20;20;20;21;22;22;22;22;23;24;26;28
"6596 Milsbeek";22;23;25;26;26;26;28;29;30;30;31;33
"6598 Heijen";21;22;24;24;25;26;27;27;27;28;28;27
"6599 Ven-Zelderheide";7;6;6;6;7;7;8;8;8;8;9;9
"6601 Wijchen-NO/Bergharen";37;39;42;41;44;45;45;48;50;54;54;56
"6602 Centrum/Aalsburg";67;67;69;70;72;70;71;71;76;81;80;87
"6603 Alverna";53;52;52;55;55;55;56;56;58;66;69;70
"6604 Woezik";33;33;32;34;34;34;37;39;42;42;42;43
"6605 Zuid/Woord";56;60;61;62;61;64;64;69;76;82;82;92
"6606 Niftrik";3;3;3;3;3;3;3;4;5;7;9;9
"6611 Overasselt";31;32;33;31;30;32;33;34;34;34;35;37
"6612 Nederasselt";4;4;4;4;4;4;5;5;5;5;5;5
"6613 Balgoy";6;6;6;7;7;8;8;8;8;8;8;9
"6615 Leur";"";"";0;0;0;0;0;0;0;0;0;1
"6616 Hernen";12;12;12;12;12;12;12;12;12;12;13;13
"6617 Bergharen";12;34;34;34;35;35;35;35;56;56;57;60
"6621 Dreumel";18;18;17;16;16;17;19;21;23;24;23;26
"6624 Heerewaarden";12;14;14;14;14;14;18;19;19;21;21;21
"6626 Alphen";13;15;16;17;18;19;21;21;21;22;23;23
"6627 Maasbommel";13;13;13;12;12;13;17;18;18;19;19;19
"6628 Altforst";4;4;4;4;4;4;4;4;5;5;5;5
"6629 Appeltern";10;11;11;11;11;11;11;13;13;13;13;13
"6631 Horssen";15;14;15;14;14;14;15;14;14;15;15;15
"6634 Batenburg";2;3;3;3;3;3;4;4;3;3;3;4
"6641 Beuningen";74;78;81;83;83;84;87;90;88;93;95;94
"6642 Beuningen-polder";33;34;35;37;35;36;39;44;47;53;55;60
"6644 Ewijk";30;31;33;31;31;31;30;28;29;31;33;36
"6645 Winssen";14;14;13;12;12;14;15;15;15;16;16;17
"6651 Druten";56;56;60;61;63;65;65;69;71;71;72;78
"6652 Druten, uitbreiding De Bouwing";20;21;23;23;23;23;24;24;24;24;24;25
"6653 Deest";9;10;10;10;11;11;11;11;11;11;12;13
"6654 Afferden";11;12;13;14;14;14;16;16;16;17;18;19
"6655 Puiflijk";8;8;8;9;9;9;9;9;9;10;10;10
"6657 Boven-Leeuwen";35;36;37;33;34;33;32;33;33;36;39;45
"6658 Beneden-Leeuwen";30;33;35;34;35;38;41;44;45;47;51;56
"6659 Wamel";13;15;16;16;17;17;18;19;20;21;22;22
"6661 Elst-N";86;89;92;95;96;97;102;105;105;109;113;115
"6662 Elst-Z";89;91;94;97;98;100;102;102;110;119;123;149
"6663 Lent";100;100;102;104;103;105;108;110;113;118;121;125
"6665 Driel";42;42;43;42;42;41;44;44;45;45;47;49
"6666 Heteren";108;114;116;120;123;127;128;133;138;151;160;188
"6668 Randwijk";12;12;13;13;13;13;13;11;11;12;13;15
"6669 Dodewaard";28;28;28;28;29;29;33;38;39;43;51;38
"6671 Zetten";22;22;23;23;24;24;30;32;32;37;39;40
"6672 Hemmen";3;3;3;3;3;3;3;3;3;3;3;3
"6673 Andelst";18;20;20;21;23;24;25;27;29;31;34;36
"6674 Herveld";34;35;37;38;39;40;42;43;46;47;50;53
"6675 Valburg";22;21;23;24;24;24;25;25;26;27;26;27
"6676 Homoet";0;0;0;0;0;0;0;0;0;0;0;0
"6677 Slijk-Ewijk";3;3;4;4;4;4;4;4;6;7;7;8
"6678 Oosterhout";28;28;28;28;28;30;31;31;30;31;31;40
"6681 Bemmel";95;94;100;102;103;108;111;114;115;120;127;132
"6684 Ressen";0;0;0;1;1;1;1;1;1;1;2;2
"6685 Haalderen";14;15;14;15;15;15;16;16;16;17;19;21
"6686 Doornenburg";24;25;26;27;27;28;28;28;30;30;31;32
"6687 Angeren";11;13;13;14;14;15;15;15;15;18;18;18
"6691 Gendt";45;46;44;44;44;45;48;54;58;64;69;72
"6701 Oude Stad";14;14;15;15;15;15;15;17;17;17;17;20
"6702 West";14;16;17;17;17;18;18;19;19;20;22;24
"6703 Buitenwijken-O";37;38;38;38;39;42;44;46;45;47;47;49
"6704 Hoog";9;9;9;10;10;10;11;11;11;12;13;13
"6705 Hoog";14;15;15;16;16;16;16;16;18;19;20;21
"6706 Buitenwijken NO";27;27;28;28;30;31;31;32;32;32;32;33
"6707 Buitenwijken N";24;24;24;24;25;27;27;27;27;28;31;31
"6708 Noordwest";56;56;59;59;62;63;69;70;70;72;74;74
"6709 Het Binnenveld";15;17;17;17;20;22;22;24;24;27;27;83
"6711 Oost";79;83;83;82;82;86;89;94;102;109;112;117
"6712 Zeehelden-/Indische brt";32;32;35;36;36;37;36;37;39;40;42;42
"6713 Vogelbloemwijk";46;48;48;50;51;52;55;58;59;59;63;64
"6714 Steinwijk";12;13;15;15;15;15;17;19;19;19;20;21
"6715 Veldbeekwijk";36;37;38;38;38;38;38;41;41;45;45;45
"6716 Frankeneng";138;141;146;134;143;152;160;164;171;174;182;197
"6717 Reehorst";135;141;195;194;194;200;211;235;242;251;249;309
"6718 Bosrand";84;80;80;77;78;85;87;89;91;96;104;115
"6721 Bennekom";110;113;115;117;119;128;133;139;142;145;150;156
"6731 Otterlo";39;38;38;38;38;36;38;39;40;40;41;46
"6732 Harskamp";19;20;20;20;21;20;21;21;21;19;19;20
"6733 Wekerom";11;11;11;12;15;15;17;17;18;23;23;24
"6741 Lunteren";107;110;113;111;111;113;118;120;125;128;136;140
"6744 Ederveen";22;22;23;23;24;25;25;27;30;32;35;35
"6745 De Klomp";9;9;10;10;10;10;11;11;11;11;11;11
"6811 Centrum";88;88;91;93;95;97;103;105;110;110;112;128
"6812 Lombok/Klingelbeek";57;59;58;57;56;59;59;61;63;64;66;66
"6813 Hoogkamp/Heijenoord/Het Dorp";50;51;53;53;54;55;61;63;63;67;69;73
"6814 Burgemeesterwijk";87;87;88;90;90;90;91;94;100;100;102;108
"6815 Alteveer-Cranevelt";41;45;47;46;47;47;46;46;48;50;50;51
"6816 Schaarsbergen";38;38;39;38;39;41;41;42;41;43;45;51
"6821 St Marten/Alteveer/Cranevelt";40;42;43;42;43;45;44;44;46;48;50;50
"6822 Klarendal";45;45;46;46;47;51;55;56;55;58;59;60
"6823 Geitenkamp/Monnikenhuizen";42;43;43;45;45;46;52;57;55;55;57;59
"6824 Velperweg";84;86;87;87;89;91;95;97;101;104;108;109
"6825 Presikhaaf-O";26;26;26;26;29;30;33;36;40;44;45;59
"6826 Presikhaaf-W";36;40;37;36;37;38;40;41;45;44;45;54
"6827 Broek";117;118;119;119;119;119;119;119;121;129;130;177
"6828 Spijkerkw/Broek";76;77;78;80;80;82;84;85;88;89;91;88
"6831 Overmaat/Kronenburg";15;15;15;17;17;16;17;16;17;19;20;20
"6832 Immerloo I/Eimersweide";15;15;17;17;19;19;19;19;20;22;22;22
"6833 Groene Weide/Kamillehof/Bakenhof";36;37;40;38;39;40;43;43;44;44;46;56
"6834 't Duifje/Immerloo II";3;4;4;4;4;6;5;5;6;6;6;6
"6835 Holthuizen/Vredenburg";21;23;24;25;25;30;30;30;32;34;34;35
"6836 Rijkerswoerd";77;79;78;80;82;84;91;92;94;98;104;132
"6841 Meinerswijk/Malburgen-W";15;18;18;17;17;17;17;19;20;22;22;25
"6842 Elden";27;26;25;22;23;26;29;30;34;34;33;33
"6843 Elderveld";39;42;43;44;46;50;55;57;59;59;59;60
"6844 De Laar-W";12;12;14;15;15;16;17;17;19;19;22;22
"6845 De Laar-O";34;35;36;37;37;36;36;37;38;40;40;42
"6846 Schuytgraaf";75;79;79;77;78;83;88;89;94;101;103;111
"6851 Huissen";54;57;58;58;58;61;63;64;64;65;70;73
"6852 Zilverkamp";53;54;54;56;58;59;61;62;67;70;72;74
"6861 Oosterbeek-N";69;72;75;76;75;76;77;77;83;86;86;87
"6862 Oosterbeek-Z";81;82;84;86;89;92;94;95;97;100;99;109
"6865 Doorwerth";46;49;48;48;49;50;51;51;52;52;55;57
"6866 Heelsum";20;20;22;22;22;23;24;26;28;30;31;32
"6869 Heveadorp";11;12;12;12;12;12;13;13;13;12;12;12
"6871 Renkum";51;52;55;56;58;62;64;66;71;75;80;84
"6874 Wolfheze";23;24;26;26;26;26;28;28;28;27;27;27
"6877 Deelen";1;1;1;1;1;1;1;1;1;1;1;2
"6881 Velp-N";87;89;90;92;92;94;93;100;101;101;100;106
"6882 Velp-Z (beneden spoorlijn)";17;18;18;18;20;19;18;20;21;22;24;26
"6883 Velp-Z";32;33;36;36;36;39;44;45;45;45;53;62
"6891 Rozendaal";28;28;29;30;29;29;32;34;39;42;44;34
"6901 Centrum";29;29;29;29;32;31;31;36;38;40;41;41
"6902 Hengelder/Tatelaar";33;33;35;33;33;33;35;35;34;33;40;43
"6903 Broek/Stegeslag/Lentemorgen";20;21;21;21;22;23;24;25;26;27;27;31
"6904 Methen/Zonnemaat";16;17;18;17;17;17;17;18;20;20;22;22
"6905 Zuidspoor/Oud-Zevenaar/Ooij";41;41;43;42;41;44;43;45;46;48;50;54
"6909 Babberich";19;19;17;17;17;18;18;19;21;25;24;24
"6911 Pannerden";17;18;19;19;18;18;20;20;19;18;19;19
"6913 Aerdt";3;5;7;7;7;7;7;7;7;7;8;8
"6914 Herwen";6;6;6;7;7;7;7;8;8;8;10;11
"6915 Lobith";16;17;16;16;16;16;15;16;19;19;19;18
"6916 Tolkamer";8;10;10;10;10;10;10;11;14;15;14;14
"6917 Spijk";10;10;10;10;11;11;11;11;12;13;13;13
"6921 Duiven";131;136;141;142;139;141;147;148;167;178;189;231
"6922 Verspr. h. Loo";41;43;45;46;46;55;58;60;62;65;64;66
"6923 Groessen";33;34;35;34;33;33;32;32;33;34;34;34
"6924 Loo";6;6;7;7;7;7;8;10;10;10;10;9
"6931 Oude Kern/Broeklanden";39;40;41;42;45;47;49;53;52;51;53;58
"6932 Zuidspoor/Oud-Zevenaar/Ooij";32;32;32;31;33;36;37;37;38;39;39;39
"6941 Noord/Loil";25;27;27;27;26;28;31;31;31;33;33;33
"6942 Zuid/Nieuw-Dijk";80;81;88;88;90;98;103;103;102;107;114;121
